Fecha,PCE CYOY Index,CPI XYOY Index,IPC services - CSXHSPCY Index,Salarios - AHE YOY% Index,Unit Labor Cost - COSTNFR% Index,Nominas - NFP TCH Index,Tasa de desempleo - USURTOT  Index,ISM servicios - NAPMNMI  Index,ISM Manuf - NAPMPMI Index,ISM prices paid - NAPMNPRC Index,Ventas al detalle - RSTAXAGM Index,Viviendas nuevas - NHSLTOT Index,GDP Real YoY - EHGDUSY Index,Chicago Activity - CFNAI Index,Foreign holdings - FARBTRSE Index,Leading indicator - LEI YoY Index,Indice condiciones financieras - NFCIINDX Index,NFIB planes precios - SBOIPPNP Index,Estandares crédito - NFCIACRE Index,S&P 500 - SPX Index,Planned layoffs - CHALTOTL Index,Claims 4w - INJCJC Index,Expectativas consumidor - CONSEXP Index,M2 (money supply) - M2% YoY Index,Ordenes bienes exc aircraft - CGNOXAI% Index,Nuevos permisos de construcción - NHSPATOT Index,Optimismo de las empresas pequeñas - SBOITOTL Index,Planes de gasto empresas pequeñas - SBOICAPS Index,Morosidad tarjetas 30d - DELQUS30 Index,Nuevas órdenes (ISM) - NAPMNEWO Index,Respondents Tightening - SLDETIGT Index,US Budget Balance (% GDP) - EHBBUSY Index,USGG3M Index,USGG6M Index,USGG12M Index,USGG2Y Index,USGG3Y Index,USGG5YR Index,USGG10YR Index,USGG30YR Index,Tasa de Politica Monetaria - FDTR Index,FED sentiment - BIFIFEDA Index,2-Yr US Treasury Notes Net Non-Commercial Futures Positions - CBT42NCN Index
2/28/2013,0.0156013,0.02,0.0299,0.021,0.124,285,0.077,56.6,54.2,59.9,0.3,447,0.023,0.24,2956833,0.016,-0.6358449,22,-0.004182,1514.68,55356,342,70.2,0.073,-0.054,980,90.9,24,2.27,58.9,-7.4,-6.5,0.001014,0.001217,0.001522,0.002343,0.003431,0.007612,0.018756,0.030856,0.0025,-18.6,139976
3/31/2013,0.0148074,0.019,0.029,0.019,-0.077,142,0.075,55.9,51.9,55.6,-0.4,444,0.023,-0.27,2951067,0.009,-0.6579425,17,-0.004147,1569.19,49255,375,70.8,0.074,-0.004,936,90,23,2.17,52.3,-7.4,-6.5,0.00071,0.001014,0.001218,0.002421,0.003484,0.007644,0.018486,0.031023,0.0025,-18.6,151606
4/30/2013,0.0137706,0.017,0.025,0.021,-0.077,186,0.076,54.3,51,53.8,-0.4,441,0.023,-0.31,2944620,0.018,-0.7025125,17,-0.004094,1597.57,38121,331,67.8,0.071,0.032,1012,91.7,22,2.05,53,-19.1,-6.5,0.000456,0.000761,0.001015,0.002074,0.003058,0.00676,0.016717,0.028762,0.0025,-16.49,46631
5/31/2013,0.0139292,0.017,0.0241,0.021,-0.077,214,0.075,54.8,50.8,53,0.5,428,0.023,0.15,2972117,0.019,-0.6925466,15,-0.004129,1630.74,36398,346,75.8,0.07,0.021,1003,94,23,1.94,52.1,-19.1,-6.5,0.000253,0.000609,0.001269,0.002933,0.004851,0.010177,0.021282,0.032791,0.0025,-13.35,-17137
6/30/2013,0.0146365,0.016,0.0222,0.021,0.037,179,0.075,53.6,51.1,53.7,0,470,0.023,-0.15,2948486,0.023,-0.6174787,18,-0.003887,1606.28,39372,340,77.8,0.068,0.001,942,94,24,1.89,52,-19.1,-6.5,0.000304,0.000913,0.001421,0.003554,0.00647,0.013945,0.024857,0.034994,0.0025,-13.35,-9812
7/31/2013,0.0148796,0.017,0.0239,0.02,0.037,122,0.073,55.2,53.8,55.3,0.6,375,0.023,-0.53,2917987,0.026,-0.6607797,15,-0.00349,1685.73,37701,334,76.5,0.066,-0.048,997,94.4,25,1.88,56.4,-18.1,-6.5,0.000355,0.000659,0.001015,0.003089,0.005903,0.013782,0.025762,0.036353,0.0025,-9.28,45908
8/31/2013,0.0153325,0.018,0.0239,0.023,0.037,243,0.072,55.3,54,53.5,0,381,0.023,0.3,2929385,0.035,-0.6561428,18,-0.003528,1632.97,50462,325,73.7,0.064,-0.005,964,94,26,1.86,58,-18.1,-6.5,0.000203,0.000507,0.001116,0.003987,0.007807,0.016407,0.027839,0.036995,0.0025,-7.53,27715
9/30/2013,0.0152922,0.017,0.0235,0.021,-0.037,185,0.072,53.6,54.6,56.4,0.5,403,0.023,0.11,2931008,0.039,-0.6784535,20,-0.003492,1681.55,40289,319,67.8,0.062,0.009,1004,93.8,27,1.89,60.2,-18.1,-6.5,0.000051,0.000254,0.000862,0.003168,0.006105,0.013815,0.0261,0.036847,0.0025,-7.53,-19178
10/31/2013,0.0145482,0.017,0.0226,0.022,-0.037,220,0.072,53.9,54.6,56.2,0.4,444,0.023,-0.01,2955207,0.038,-0.7351157,19,-0.003424,1756.54,45730,347,62.5,0.067,-0.022,1044,91.5,24,1.89,57.4,-8.3,-6.5,0.000355,0.000811,0.000913,0.00305,0.005689,0.013294,0.025542,0.036386,0.0025,-11.17,-12820
11/30/2013,0.0151426,0.017,0.0231,0.022,-0.037,273,0.069,53.1,55.5,53.2,0.2,446,0.023,0.3,2986607,0.048,-0.7868567,20,-0.003438,1805.81,45314,312,66.8,0.061,0.056,1029,92.2,24,1.9,59.5,-8.3,-6.5,0.000558,0.000964,0.001167,0.002814,0.005449,0.013701,0.027445,0.038106,0.0025,-10.18,53090
